SRR4425711_raw_10ksubset.kraken.filtered.report,SRR4425665_raw_10ksubset.kraken.filtered.report,SRR4425718_raw_10ksubset.kraken.filtered.report,SRR4425713_raw_10ksubset.kraken.filtered.report,SRR4425663_raw_10ksubset.kraken.filtered.report,SRR4425710_raw_10ksubset.kraken.filtered.report,SRR4425715_raw_10ksubset.kraken.filtered.report,SRR4425719_raw_10ksubset.kraken.filtered.report,SRR4425712_raw_10ksubset.kraken.filtered.report,SRR4425662_raw_10ksubset.kraken.filtered.report,SRR4425666_raw_10ksubset.kraken.filtered.report,SRR4425664_raw_10ksubset.kraken.filtered.report,SRR4425714_raw_10ksubset.kraken.filtered.report,SRR4425660_raw_10ksubset.kraken.filtered.report,SRR4425659_raw_10ksubset.kraken.filtered.report,SRR4425661_raw_10ksubset.kraken.filtered.report
"Bacteria",24.0,8.0,17.0,20.0,19.0,17.0,18.0,7.0,26.0,32.0,44.0,29.0,31.0,31.0,60.0,53.0
"Bacteria|NA|Proteobacteria",4.0,3.0,0.0,0.0,6.0,3.0,6.0,0.0,1.0,8.0,12.0,18.0,1.0,1.0,7.0,7.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales",3.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,2.0,4.0,3.0,4.0,4.0,1.0,5.0,5.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae",105.0,4.0,6.0,10.0,6.0,68.0,73.0,6.0,5.0,58.0,15.0,9.0,58.0,41.0,98.0,113.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia",3.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli",62.0,0.0,8.0,8.0,2.0,39.0,29.0,6.0,4.0,29.0,2.0,4.0,30.0,36.0,32.0,85.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia fergusonii",2.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia albertii",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella|Klebsiella pneumoniae",7.0,3.0,2.0,1.0,5.0,3.0,3.0,1.0,0.0,0.0,7.0,11.0,6.0,3.0,4.0,8.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica",1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shigella",1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bacteria|NA|Firmicutes",1.0,6.0,11.0,18.0,7.0,1.0,1.0,6.0,16.0,19.0,19.0,19.0,4.0,34.0,40.0,49.0
"Bacteria|NA|Firmicutes|Bacilli",5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales",5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,11.0,7.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus",11.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus salivarius",13.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus reuteri",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus johnsonii",2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecium",1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,4.0,4.0,4.0,4.0,22.0,34.0
