SRR4425711_raw_10ksubset,SRR4425665_raw_10ksubset,SRR4425718_raw_10ksubset,SRR4425713_raw_10ksubset,SRR4425663_raw_10ksubset,SRR4425710_raw_10ksubset,SRR4425715_raw_10ksubset,SRR4425719_raw_10ksubset,SRR4425712_raw_10ksubset,SRR4425662_raw_10ksubset,SRR4425666_raw_10ksubset,SRR4425664_raw_10ksubset,SRR4425714_raw_10ksubset,SRR4425660_raw_10ksubset,SRR4425659_raw_10ksubset,SRR4425661_raw_10ksubset
"Bacteria",581.0,275.0,764.0,1125.0,576.0,532.0,342.0,500.0,1226.0,878.0,1179.0,1476.0,784.0,851.0,1623.0,1509.0
"Bacteria|NA|Proteobacteria",29.0,169.0,6.0,10.0,280.0,28.0,44.0,8.0,14.0,35.0,578.0,784.0,17.0,24.0,58.0,73.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria",16.0,67.0,3.0,12.0,148.0,22.0,27.0,6.0,4.0,14.0,333.0,386.0,15.0,24.0,37.0,37.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales",71.0,3.0,3.0,13.0,6.0,116.0,108.0,12.0,10.0,71.0,33.0,52.0,53.0,44.0,96.0,96.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae",1922.0,19.0,128.0,214.0,37.0,1273.0,1385.0,167.0,86.0,1322.0,85.0,105.0,851.0,914.0,1605.0,2282.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia",90.0,0.0,3.0,4.0,0.0,99.0,60.0,4.0,1.0,45.0,0.0,0.0,37.0,29.0,27.0,51.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli",636.0,14.0,31.0,57.0,30.0,353.0,266.0,49.0,29.0,346.0,68.0,94.0,264.0,276.0,419.0,779.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia fergusonii",23.0,0.0,0.0,0.0,0.0,89.0,43.0,1.0,0.0,1.0,0.0,0.0,12.0,3.0,1.0,2.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia sp. E4742",9.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,7.0,0.0,0.0,2.0,4.0,3.0,4.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia albertii",7.0,0.0,3.0,2.0,0.0,10.0,11.0,1.0,1.0,9.0,0.0,0.0,5.0,12.0,9.0,23.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia marmotae",7.0,0.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0,4.0,0.0,0.0,5.0,2.0,7.0,5.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella",2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella|Klebsiella pneumoniae",64.0,33.0,3.0,1.0,64.0,19.0,21.0,3.0,1.0,16.0,150.0,153.0,95.0,14.0,19.0,62.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella|Klebsiella oxytoca",1.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,10.0,3.0,4.0,4.0,6.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shigella",9.0,0.0,0.0,1.0,0.0,14.0,8.0,0.0,2.0,7.0,0.0,0.0,1.0,12.0,12.0,11.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shigella|Shigella dysenteriae",14.0,0.0,1.0,3.0,0.0,12.0,4.0,0.0,0.0,11.0,0.0,0.0,1.0,11.0,6.0,16.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shigella|Shigella sonnei",8.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,8.0,3.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shigella|Shigella boydii",4.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shigella|Shigella flexneri",4.0,1.0,2.0,3.0,0.0,7.0,9.0,0.0,0.0,6.0,0.0,0.0,5.0,3.0,13.0,10.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica",16.0,4.0,0.0,6.0,8.0,7.0,20.0,0.0,1.0,12.0,17.0,18.0,10.0,5.0,18.0,26.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Citrobacter",6.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,7.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Citrobacter|Citrobacter freundii",3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Enterobacter",3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Enterobacter|Enterobacter cloacae",4.0,2.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,2.0,5.0,10.0,3.0,1.0,4.0,4.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Leclercia",2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Cronobacter|Cronobacter muytjensii",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
"Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Kosakonia|Kosakonia sacchari",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
